date,item,quantity,unit_cost
2026-07-20,Croissants,108.0,1.3442
2026-07-20,Drip Coffee Beans,30.0,7.1
2026-07-20,Espresso Beans,40.0,9.3652
2026-07-20,Oat Milk,48.0,3.0816
2026-07-20,Vanilla Syrup,66.0,6.7807
2026-07-21,Whole Milk,64.0,4.3262
2026-07-22,Croissants,72.0,1.3773
2026-07-24,Croissants,72.0,1.3256
2026-07-24,Whole Milk,56.0,4.2161
2026-07-26,Croissants,108.0,1.3735
2026-07-27,12oz Cups,4000.0,0.11
2026-07-27,16oz Cups,4000.0,0.1321
2026-07-27,Cup Lids,8000.0,0.04
2026-07-27,Drip Coffee Beans,25.0,7.5422
2026-07-27,Espresso Beans,40.0,9.6495
2026-07-27,Matcha Powder,22.0,25.97
2026-07-27,Oat Milk,36.0,3.1001
2026-07-27,Whole Milk,68.0,4.12
2026-07-28,Croissants,108.0,1.3741
2026-07-30,Croissants,72.0,1.3208
2026-07-30,Whole Milk,52.0,4.274
2026-08-01,Croissants,108.0,1.3643
2026-08-02,Whole Milk,56.0,4.2728
2026-08-03,Caramel Syrup,30.0,6.9662
2026-08-03,Croissants,108.0,1.3915
2026-08-03,Drip Coffee Beans,35.0,7.1791
2026-08-03,Espresso Beans,45.0,9.5365
2026-08-03,Oat Milk,60.0,3.0494
2026-08-03,Vanilla Syrup,72.0,6.847
2026-08-05,Croissants,72.0,1.345
2026-08-05,Whole Milk,64.0,4.218
2026-08-07,Croissants,108.0,1.3659
2026-08-08,Whole Milk,56.0,4.258
2026-08-09,Croissants,108.0,1.307
2026-08-10,Drip Coffee Beans,35.0,7.3171
2026-08-10,Espresso Beans,50.0,8.9439
2026-08-10,Oat Milk,48.0,3.0172
